year,n6,name,n5,n2,n,n3,n4
2020/1/25,IT,Italy,EURO,0,0,0,0
2020/1/26,IN,India,SEARO,0,0,0,0
2020/1/26,US,United States of America,AMRO,1,38,0,0
2020/1/26,BR,Brazil,AMRO,0,0,0,0
2020/1/26,RU,Russian Federation,EURO,0,0,0,0
2020/1/26,FR,France,EURO,0,3,0,0
2020/1/26,TR,Turkey,EURO,0,0,0,0
2020/1/26,GB,The United Kingdom,EURO,0,0,0,0
2020/1/26,AR,Argentina,AMRO,0,0,0,0
2020/1/26,CO,Colombia,AMRO,0,0,0,0
2020/1/26,IT,Italy,EURO,0,0,0,0
2020/1/27,IN,India,SEARO,0,0,0,0
2020/1/27,US,United States of America,AMRO,3,41,0,0
2020/1/27,BR,Brazil,AMRO,0,0,0,0
2020/1/27,RU,Russian Federation,EURO,0,0,0,0
2020/1/27,FR,France,EURO,0,3,0,0
2020/1/27,TR,Turkey,EURO,0,0,0,0
2020/1/27,GB,The United Kingdom,EURO,0,0,0,0
2020/1/27,AR,Argentina,AMRO,0,0,0,0
2020/1/27,CO,Colombia,AMRO,0,0,0,0
2020/1/27,IT,Italy,EURO,0,0,0,0
2020/1/28,IN,India,SEARO,0,0,0,0
2020/1/28,US,United States of America,AMRO,3,44,0,0
2020/1/28,BR,Brazil,AMRO,0,0,0,0
2020/1/28,RU,Russian Federation,EURO,0,0,0,0
2020/1/28,FR,France,EURO,0,3,0,0
2020/1/28,TR,Turkey,EURO,0,0,0,0
2020/1/28,GB,The United Kingdom,EURO,0,0,0,0
2020/1/28,AR,Argentina,AMRO,0,0,0,0
2020/1/28,CO,Colombia,AMRO,0,0,0,0
2020/1/28,IT,Italy,EURO,0,0,0,0
2020/1/29,IN,India,SEARO,0,0,0,0
2020/1/29,US,United States of America,AMRO,1,45,0,0
2020/1/29,BR,Brazil,AMRO,0,0,0,0
2020/1/29,RU,Russian Federation,EURO,0,0,0,0
2020/1/29,FR,France,EURO,1,4,0,0
2020/1/29,TR,Turkey,EURO,0,0,0,0
2020/1/29,GB,The United Kingdom,EURO,0,0,0,0
2020/1/29,AR,Argentina,AMRO,0,0,0,0
2020/1/29,CO,Colombia,AMRO,0,0,0,0
2020/1/29,IT,Italy,EURO,2,2,0,0
2020/1/30,IN,India,SEARO,1,1,0,0
2020/1/30,US,United States of America,AMRO,1,46,0,0
2020/1/30,BR,Brazil,AMRO,0,0,0,0
2020/1/30,RU,Russian Federation,EURO,0,0,0,0
2020/1/30,FR,France,EURO,1,5,0,0
2020/1/30,TR,Turkey,EURO,0,0,0,0
2020/1/30,GB,The United Kingdom,EURO,0,0,0,0
2020/1/30,AR,Argentina,AMRO,0,0,0,0
2020/1/30,CO,Colombia,AMRO,0,0,0,0
2020/1/30,IT,Italy,EURO,0,2,0,0
2020/1/31,IN,India,SEARO,4,5,0,0
2020/1/31,US,United States of America,AMRO,1,47,0,0
2020/1/31,BR,Brazil,AMRO,0,0,0,0
2020/1/31,RU,Russian Federation,EURO,2,2,0,0
2020/1/31,FR,France,EURO,1,6,0,0
2020/1/31,TR,Turkey,EURO,0,0,0,0
2020/1/31,GB,The United Kingdom,EURO,0,0,0,0
2020/1/31,AR,Argentina,AMRO,0,0,0,0
2020/1/31,CO,Colombia,AMRO,0,0,0,0
2020/1/31,IT,Italy,EURO,1,3,0,0
2020/2/1,IN,India,SEARO,0,5,0,0
2020/2/1,US,United States of America,AMRO,2,49,0,0
2020/2/1,BR,Brazil,AMRO,0,0,0,0
2020/2/1,RU,Russian Federation,EURO,0,2,0,0
2020/2/1,FR,France,EURO,0,6,0,0
2020/2/1,TR,Turkey,EURO,0,0,0,0
2020/2/1,GB,The United Kingdom,EURO,2,2,0,0
2020/2/1,AR,Argentina,AMRO,0,0,0,0
2020/2/1,CO,Colombia,AMRO,0,0,0,0
2020/2/1,IT,Italy,EURO,0,3,0,0
2020/2/2,IN,India,SEARO,-3,2,0,0
2020/2/2,US,United States of America,AMRO,4,53,0,0
2020/2/2,BR,Brazil,AMRO,0,0,0,0
2020/2/2,RU,Russian Federation,EURO,0,2,0,0
2020/2/2,FR,France,EURO,0,6,0,0
2020/2/2,TR,Turkey,EURO,0,0,0,0
2020/2/2,GB,The United Kingdom,EURO,0,2,0,0
2020/2/2,AR,Argentina,AMRO,0,0,0,0
2020/2/2,CO,Colombia,AMRO,0,0,0,0
2020/2/2,IT,Italy,EURO,0,3,0,0
2020/2/3,IN,India,SEARO,1,3,0,0
2020/2/3,US,United States of America,AMRO,3,56,0,0
2020/2/3,BR,Brazil,AMRO,0,0,0,0
2020/2/3,RU,Russian Federation,EURO,0,2,0,0
2020/2/3,FR,France,EURO,0,6,0,0
2020/2/3,TR,Turkey,EURO,0,0,0,0
2020/2/3,GB,The United Kingdom,EURO,0,2,0,0
2020/2/3,AR,Argentina,AMRO,0,0,0,0
2020/2/3,CO,Colombia,AMRO,0,0,0,0
2020/2/3,IT,Italy,EURO,0,3,0,0
2020/2/4,IN,India,SEARO,4,7,0,0
2020/2/4,US,United States of America,AMRO,1,57,0,0
2020/2/4,BR,Brazil,AMRO,0,0,0,0
2020/2/4,RU,Russian Federation,EURO,0,2,0,0
2020/2/4,FR,France,EURO,0,6,0,0
2020/2/4,TR,Turkey,EURO,0,0,0,0
2020/2/4,GB,The United Kingdom,EURO,0,2,0,0
2020/2/4,AR,Argentina,AMRO,0,0,0,0
2020/2/4,CO,Colombia,AMRO,0,0,0,0
2020/2/4,IT,Italy,EURO,0,3,0,0
2020/2/5,IN,India,SEARO,0,7,0,0
2020/2/5,US,United States of America,AMRO,7,64,0,0
2020/2/5,BR,Brazil,AMRO,0,0,0,0
2020/2/5,RU,Russian Federation,EURO,0,2,0,0
2020/2/5,FR,France,EURO,0,6,0,0
2020/2/5,TR,Turkey,EURO,0,0,0,0
2020/2/5,GB,The United Kingdom,EURO,0,2,0,0
2020/2/5,AR,Argentina,AMRO,0,0,0,0
2020/2/5,CO,Colombia,AMRO,0,0,0,0
2020/2/5,IT,Italy,EURO,0,3,0,0
2020/2/6,IN,India,SEARO,0,7,0,0
2020/2/6,US,United States of America,AMRO,1,65,0,0
2020/2/6,BR,Brazil,AMRO,0,0,0,0
2020/2/6,RU,Russian Federation,EURO,0,2,0,0
2020/2/6,FR,France,EURO,0,6,0,0
2020/2/6,TR,Turkey,EURO,0,0,0,0
2020/2/6,GB,The United Kingdom,EURO,0,2,0,0
2020/2/6,AR,Argentina,AMRO,0,0,0,0
2020/2/6,CO,Colombia,AMRO,0,0,0,0
2020/2/6,IT,Italy,EURO,0,3,0,0
2020/2/7,IN,India,SEARO,0,7,0,0
2020/2/7,US,United States of America,AMRO,1,66,0,0
2020/2/7,BR,Brazil,AMRO,0,0,0,0
2020/2/7,RU,Russian Federation,EURO,0,2,0,0
2020/2/7,FR,France,EURO,0,6,0,0
2020/2/7,TR,Turkey,EURO,0,0,0,0
2020/2/7,GB,The United Kingdom,EURO,1,3,0,0
2020/2/7,AR,Argentina,AMRO,0,0,0,0
2020/2/7,CO,Colombia,AMRO,0,0,0,0
2020/2/7,IT,Italy,EURO,0,3,0,0
2020/2/8,IN,India,SEARO,0,7,0,0
2020/2/8,US,United States of America,AMRO,0,66,0,0
2020/2/8,BR,Brazil,AMRO,0,0,0,0
